Quelle,Stadt,URL PARENT,Dateibezeichnung,URL Datei,Format,Beschreibung,Zeitlicher Bezug,Lizenz,Kosten,Veröffentlichende Stelle,Arbeitsmarkt,Bevölkerung,Bildung und Wissenschaft,Haushalt und Steuern,Stadtentwicklung und Bebauung,Wohnen und Immobilien,Sozialleistungen,Öffentl. Sicherheit,Gesundheit,Kunst und Kultur,Land- und Forstwirtschaft,Sport und Freizeit,Umwelt,Transport und Verkehr,"Energie, Ver- und Entsorgung",Politik und Wahlen,Gesetze und Justiz,Wirtschaft und Wirtschaftsförderung,Tourismus,Verbraucher,Sonstiges,Noch nicht kategorisiert
d,hamburg.de,,Bebauungsplan Fuhlsbüttel 8 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Fuhlsbüttel 8 für den Geltungsbereich Zeppelinstraße-Hornkamp-Alsterkrugchaussee (Bezirk Hamburg-Nord, Ortsteil 431) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Rissen 21 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Rissen 21 für den Geltungsbereich Sandmoorweg - Rüdigerau - Nordgrenze des Flurstücks 2292 der Gemarkung Rissen - Wedeler Au - Klövensteenweg - Grot Sahl (Bezirk Altona, Ortsteil 226) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Niendorf 41 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Niendorf 41 für den Geltungsbereich Paul-Sorge-Straße-Schippelsweg-Ostgrenze des Flurstücks 1294 der Gemarkung Niendorf-Krähenweg (Bezirk Eimsbüttel, Ortsteil 318) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Othmarschen 18 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Othmarschen 18 für den Geltungsbereich Othmarscher Kirchenweg - Othmarscher Mühlenweg-
Stegelweg - Ostgrenze des Flurstücks 1099, Ost- und Südgrenze des Flurstücks 1100, Ostgrenze des Flurstücks 1793 der Gemarkung Othmarschen - Bemadottestraße-Westgrenze des Flurstücks 1670, über die Flurstücke 1117, 1100, 1101, 1102 und 1099 zur Südgrenze des Flurstücks 1103 der Gemarkung Othmarschen - Hirtenweg - über das Flurstück  719 der Gemarkung Othmarschen zur Emkendorfstraße (Bezirk Altona, Ortsteil 218) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Osdorf 4-Groß Flottbek 5 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Osdorf 4 / Groß Flottbek 5 für das Plangebiet Püttkuhl - Osdorfer Landstraße  Windmühlenweg - Feldweg 45 - Ost- Süd- und Westgrenze des Flurstücks 1200, Südgrenze des Flurstücks 1202, Ost-, Süd- und Westgrenze des Flurstücks 1203 der  Gemarkung  Groß Flott­bek - Maulwurfstieg - West- und Südgrenze des Flurstücks 2206 der Gemarkung Osdorf (Bezirk Altona, Ortsteile 217 und  220) wird  festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Alsterdorf 13 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Alsterdorf 13 für den Geltungsbereich Bebelallee-Wilhelm-Metzger-Straße-Alsterdorfer Straße- Bahnanlagen (Bezirk Hamburg-Nord, Ortsteil 407) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Osdorf 16 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Osdorf 16 für das Plangebiet - Am Landpflegeheim - Blomkamp - Flurstraße - Osdorfer Landstraße (Bezirk Altona, Ortsteil 220) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Bahrenfeld 10 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Bahrenfeld 10 für den Geltungsbereich Lutherhöhe - Westgrenze des Flurstücks 1779 der Gemarkung Bahrenfeld - Holstenkamp - Westgrenze des Flurstücks 1770 der Gemarkung Bahrenfeld - Nansenstraße-
Nordgrenze des Flurstücks 2420 der Gemarkung Bahrenfeld - Hogenfeldweg - Nordgrenzen der Flurstücke 2425 und 2391, West- und Nordgrenze des Flurstücks 2390, Ostgrenze des Flurstücks 2386, Nordgrenze des Flurstücks 2376, Westgrenze des Flurstücks 2357 sowie Nordgrenze des Flurstücks 3/74 der Gemarkung Bahrenfeld - Bahnanlagen - Holstenkamp - Von-Hutten-Straße - Südgrenzen der Flurstücke 1837 und 1835 der Gemarkung Bahrenfeld (Bezirk Altona, Ortsteile 214, 215) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Billstedt 32 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Billstedt 32 für den Geltungsbereich Bille-Westgrenze des Flurstücks 1162 der Gemarkung Schiffbek - Billstedter Hauptstraße - über die Flurstücke 1132 bis 1129, 1127 bis 1125, 1123 und 1122 der Gemarkung Schiffbek, Westgrenzen der Flurstücke 725 und 726 der Gemarkung Kirchsteinbek - Korverweg - Schöfferstieg - Kapellenstraße - Ostgrenzen der Flurstücke 730 und 729 der Gemarkung Kirchsteinbek - Steinbeker Hauptstraße - Ostgrenze des Flurstücks 720 der Gemarkung Kirchsteinbek - Steinbeker Weg - Ostgrenze des Flurstücks 688, über das Flurstück 687 der Gemarkung Kirchsteinbek - Bahnanlagen (Bezirk Hamburg-Mitte, Ortsteil 131) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Rahlstedt 66 Blatt 2 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Rahlstedt 66 für den Geltungsbereich Berner Straße zwischen Bargteheider Straße und Schierenberg einschließlich angrenzender Flurstücksteile und der Flurstücke 2609, 2610 sowie Teile des Flurstücks 724 der Gemarkung Oldenfelde-Fasanenweg zwischen Schierenberg und Berner Stieg einschließlich angrenzender Flurstücksteile und Teilen der Flurstücke 2393 bis 2396 der Gemarkungen Meiendorf und Oldenfelde-Alter Zollweg zwischen Berner Straße und Schlawer Weg sowie Westgrenze des Flurstücks 1689 einschließlich angrenzender Flurstücksteile der Gemarkung Oldenfelde (Bezirk Wandsbek, Ortsteil 526) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Eppendorf 10 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Eppendorf 10 für das Plangebiet Tarpenbekstraße-über das Flurstück 26 der Gemarkung Eppendorf bis zu den Bahnanlagen-Alsterkrugchaussee-Eppendorfer Landstraße-Lokstedter Weg-Kegelhofstraße (Bezirk Hamburg-Nord, Ortsteil 405) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Rissen 42 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Rissen 42 für den Geltungsbereich-Wülpensand-Flerrentwiete-Wolferskamp-(Bezirk Altona, Ortsteil 226) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Billstedt 103 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Billstedt 103 für den Geltungsbereich zwischen der Bundesautobahn A 24, Haferblöcken, Fuchsbergweg und dem Jenfelder Bach in Billstedt (Bezirk Hamburg-Mitte, Ortsteil 131) wird festgestellt.
Das Gebiet wird wie folgt begrenzt:
Haferblöcken - Südgrenze des Flurstücks 2059, über das Flurstück 2059, Westgrenzen der Flurstücke 2059, 1616, 1615 und 1207, über das Flurstück 1207, Nordgrenze des Flurstücks 1207 der Gemarkung Öjendorf.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Othmarschen 12 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Othmarschen 12 für das Plangebiet Ohnsorgweg - Bahnanlagen - Parkstraße - Klein Flottbeker Weg - Hochrad - Westgrenzen der Flurstücke 176 bis 174 der Gemarkung Klein Flottbek (Bezirk Altona,
Ortsteil 218) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Uhlenhorst 10 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Uhlenhorst 10 fiir den Geltungsbereich östlich Finkenau zwischen Oberaltenallee und Bahnanlagen (Bezirk Hamburg-Nord, Ortsteil 415) wird festgestellt.
Das Gebiet wird wie folgt begrenzt:
Oberaltenallee-Ostgrenze des Flurstücks 5655, Südgrenze des Flurstücks 5750, über das Flurstück 5750 der Gemarkung Barmbek-Finkenau.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Blankenese 30 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Blankenese 30 für den Geltungsbereich beiderseits Strandweg zwischen Sagebiels Weg und lngwersens Weg (Bezirk Altona, Ortsteil 222) wird festgestellt.
Das  Gebiet  wird  wie  folgt  begrenzt:
Sagebiels Weg-Westgrenze des Flurstücks 284, West- und Nordgrenze des Flurstücks 1970, Süd- und Westgrenze des Flurstücks 1753, Westgrenzen der Flurstücke 287 und 288, Süd-, West- und Nordgrenze des Flurstücks 289 der Gemarkung Blankenese-Ingwersens Weg-Am Hang-Strandweg-Ostgrenze des Flurstücks 1567, über das Flurstück 1916 der Gemarkung Blankenese-Elbuferlinie-über das Flurstück 1916, Westgrenzen der Flurstücke 1916 und 1556 der Gemarkung Blankenese-Strandweg.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Kita-Stadtplan - Portal Hamburg,,DATA,"Das Kita-Stadtplan-Portal dient der Suche nach Einrichtungen der Kindertagesbetreuung (Kita, Krippe, Hort, Vorschule und Eingliedeungshilfe) mit Hilfe einer interaktiven Karte.",,dl-de-by-1.0,,,,,,,,,,,,,,,,,,,,,,,,x
d,hamburg.de,,Bebauungsplan Volksdorf 28 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Volksdorf 28 für den Geltungsbereich Im Regestall-Walddörferbahn-Ohlendorffs Tannen-über das Flurstück 450 der Gemarkung Volksdorf-Landesgrenze-Nordost- und Südostgrenze des Flurstücks 885, über die Flurstücke 417 und 415 der Gemarkung Volksdorf-Schmalenremen (Bezirk Wandsbek, Ortsteil 525) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Barmbek-Sued 20 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Barmbek-Süd 20 für den Geltungsbereich Mirowstraße-Osterbekstraße-Hufnerstraße-Brucknerstraße (Bezirk Hamburg-Nord, Ortsteil 421) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Rissen 5 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Rissen 5 für den Geltungsbereich Rissener Landstraße - Westgrenze des Flurstücks 573 der Gemarkung Rissen - Sülldorfer Landstraße - Achtern Sand- Bahnanlagen   - Ostgrenze   des  Flurstücks  2466  der  Gemarkung  Rissen  -Sülldorfer Landstraße  - Ortwinstieg  - Buschredder  - Rissener  Busch  (Bezirk Altona,  Ortsteil 226) wird  festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Eidelstedt 5 Bahrenfeld 28 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Eidelstedt 5/Bahrenfeld 28 für den Geltungsbereich Schnackenburgallee-über das Flurstück 1761 der Gemarkung Bahrenfeld zur Sylvesterallee-Mühlenau-Farnhornstieg-Binsbarg-Ottensener Straße-Grenze der Gemarkung Eidelstedt-Hogenfeldweg-über das Flurstück 2422 der Gemarkung Ottensen zur Schnackenburgallee (Bezirk Eimsbüttel, Ortsteil 320, und Bezirk Altona, Ortsteile 215 und 216) wird festgestellt",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Grundwasserflurabstand 1996 Hamburg,http://www.hamburg.de/hydrogeologische-planungskarten/2611068/flurabstandskarte.html,"GML,WMS","Hoher Flurabstand zur Grundwasseroberfläche des hydrologischen Jahres 1996 (=niedrige Grundwasserstände). 
Die Daten werden als WMS-Darstellungsdienst und als WFS-Downloaddienst bereitgestellt.",,dl-de-by-1.0,,"Behörde für Stadtentwicklung und Umwelt, Amt für Umweltschutz",,,,,x,,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Schnelsen 43 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Schnelsen 43 für den Geltungsbereich Schleswiger Damm von der Nordwestgrenze des Flurstückes 949 der Gemarkung Schnelsen bis zur Frohmestraße/ Wendlohstraße (Bezirk Eimsbüttel, Ortsteil 319) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Neustadt 19 Hamburg-Altstadt 14 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Neustadt 19 / Hamburg-Altstadt 14 für den Geltungsbereich Herrengraben-Ost-West-Straße- Westgrenzen der Flurstücke 519, 215 und 39 der Gemarkung Neustadt-Süd-Michaelisstraße-Düsternstraße- Stadt-hausbrücke-Neuer Wall-Am Alsterfleet-Alsterfleet-Mönkedammfleet-Altenwallbrücke-Rödingsmarkt-Südwestgrenze des Flurstücks 85 der Gemarkung Altstadt- Süd-Alsterfleet-Slamatjenbrücke-Alsterfleet-Schaartorbrücke-Schaartor- Schaarsteinwegbrücke (Bezirk Hamburg-Mitte, Ortsteile 102, 104, 106 und 107) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Ottensen 12 Hamburg,,PDF,"Der Bebauungsplan Ottensen 12 für das Plangebiet Hohenzollernring - Daimlertwiete - Daimlerstraße - Frie­densallee (Bezirk Altona, Ortsteil 219) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Harvestehude 1 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Bebauungsplan Harvestehude 1 für den Geltungsbereich zwischen Rothenbaumchaussee-Oberstraße-Mittelweg- Werderstraße (Bezirk Hamburg-Eimsbüttel, Ortsteil 313) wird festgestellt.
Das Gebiet wird wie folgt begrenzt:
Rothenbaumchaussee-Oberstraße-Mittelweg, Südgrenze der Flurstücke 2340 und 2339-Ost- und Südgrenze des Flurstücks 726, Süd- und Westgrenze des Flur¬stücks 725-Südgrenze des Flurstücks 723 der Gemarkung Harvestehude.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Eidelstedt 8 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Eidelstedt 8 für den Geltungsbereich Niekampsweg-über die Flurstücke 1558 und 1557 der Gemarkung Eidelstedt-Lohkampstraße-Westgrenze des Flurstücks 1542 der Gemarkung Eidelstedt-Pinneberger Chaussee-Eidelstedter Platz-Kieler Straße-Elbgaustraße (Bezirk Eimsbüttel, Ortsteil 320) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Stellingen 63 Eidelstedt 70 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Stellingen 63/Eidelstedt 70 für den Geltungsbereich südwestlich der Kieler Straße nördlich des Kronsaalswegs (Bezirk Eimsbüttel, Ortsteile 320, 321) wird festgestellt.
Das Plangebiet wird wie folgt begrenzt:
Bollweg-Nordgrenzen der Flurstücke 1650 und 3045, West und Nordgrenze des Flurstücks 3046 der Gemarkung Eidelstedt, Nordwestgrenze des Flurstücks 6 der Gemarkung Stellingen-Kieler Straße-Kronsaalsweg (Bezirk Eimsbüttel, Ortsteile 320, 321).",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Lokstedt 5 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Lokstedt 5 für den Geltungsbereich Lokstedter Steindamm-Süderfeldstraße-Butenfeld (Bezirk Eimsbüttel, Ortsteil 317) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Othmarschen 13 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Othmarschen 13 für den Geltungsbereich Emkendorfstraße - Lavaterweg - Ostgrenze des Flurstücks 802, über das Flurstück 801 der Gemarkung Othmarschen zur Walderseestraße - über die Flurstücke 804, 805, 806 und 808 zur Südgrenze des Flurstücks 808, Westgrenze des Flurstücks 8411, Südgrenzen der Flurstücke 84/l, 15/ 1, 807, 16/1 und 739 der Gemarkung Othmarschen (Bezirk Altona, Ortsteil 218) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
d,hamburg.de,,Bebauungsplan Langenhorn 66 Hamburg,http://www.hamburg.de/bebauungsplaene-online.de,PDF,"Der Bebauungsplan Langenhorn 66 für den Geltungsbereich Tangstedter Landstraße - Wakendorfer Weg - Götzberger Weg - Südostgrenze des Flurstücks 4159, Nordgrenze des Flurstücks 10285 der Gemarkung Langenhorn - Bezirksgrenze (Raakmoorgraben) - Hohe Liedt (Bezirk Hamburg¬Nord, Ortsteil 432) wird festgestellt.",,dl-de-by-1.0,,Landesbetrieb Geoinformation und Vermessung (LGV) Hamburg,,,,,x,x,,,,,,,,,,,,,,,,
