Adenau,"Verbandsgemeinde Adenau"
Altenglan,"Verbandsgemeinde Altenglan"
Glan-Münchweiler,"Verbandsgemeinde Glan-Münchweiler"
Kusel,"Verbandsgemeinde Kusel"
Lauterecken-Wolfstein,"Verbandsgemeinde Lauterecken-Wolfstein"
Schönenberg-Kübelberg,"Verbandsgemeinde Schönenberg-Kübelberg"
Waldmohr,"Verbandsgemeinde Waldmohr"
Bodenheim,"Verbandsgemeinde Bodenheim"
Gau-Algesheim,"Verbandsgemeinde Gau-Algesheim"
Heidesheim,"Verbandsgemeinde Heidesheim am Rhein"
Nieder-Olm,"Verbandsgemeinde Nieder-Olm"
Rhein-Nahe,"Verbandsgemeinde Rhein-Nahe"
Rhein-Selz,"Verbandsgemeinde Rhein-Selz"
Sprendlingen-Gensingen,"Verbandsgemeinde Sprendlingen-Gensingen"
Maifeld,"Verbandsgemeinde Maifeld"
Mendig,"Verbandsgemeinde Mendig"
Pellenz,"Verbandsgemeinde Pellenz"
Rhein-Mosel,"Verbandsgemeinde Rhein-Mosel"
Vallendar,"Verbandsgemeinde Vallendar"
Vordereifel,"Verbandsgemeinde Vordereifel"
Weißenthurm,"Verbandsgemeinde Weißenthurm"
Asbach,"Verbandsgemeinde Asbach"
Bad Hönningen,"Verbandsgemeinde Bad Hönningen"
Dierdorf,"Verbandsgemeinde Dierdorf"
Linz,"Verbandsgemeinde Linz am Rhein"
Puderbach,"Verbandsgemeinde Puderbach"
Rengsdorf,"Verbandsgemeinde Rengsdorf"
Unkel,"Verbandsgemeinde Unkel"
Waldbreitbach,"Verbandsgemeinde Waldbreitbach"
Emmelshausen,"Verbandsgemeinde Emmelshausen"
Kastellaun,"Verbandsgemeinde Kastellaun"
Kirchberg,"Verbandsgemeinde Kirchberg (Hunsrück)"
Rheinböllen,"Verbandsgemeinde Rheinböllen"
Sankt Goar-Oberwesel,"Verbandsgemeinde Sankt Goar-Oberwesel"
Simmern/Hunsrück,"Verbandsgemeinde Simmern/Hunsrück"
Bad Ems,"Verbandsgemeinde Bad Ems"
Diez,"Verbandsgemeinde Diez"
Hahnstätten,"Verbandsgemeinde Hahnstätten"
Katzenelnbogen,"Verbandsgemeinde Katzenelnbogen"
Loreley,"Verbandsgemeinde Loreley"
Nassau,"Verbandsgemeinde Nassau"
Nastätten,"Verbandsgemeinde Nastätten"
Dannstadt-Schauernheim,"Verbandsgemeinde Dannstadt-Schauernheim"
Lambsheim-Heßheim,"Verbandsgemeinde Lambsheim-Heßheim"
Maxdorf,"Verbandsgemeinde Maxdorf"
Römerberg-Dudenhofen,"Verbandsgemeinde Römerberg-Dudenhofen"
Waldsee,"Verbandsgemeinde Waldsee"
Annweiler,"Verbandsgemeinde Annweiler am Trifels"
Bad Bergzabern,"Verbandsgemeinde Bad Bergzabern"
Edenkoben,"Verbandsgemeinde Edenkoben"
Herxheim,"Verbandsgemeinde Herxheim"
Landau-Land,"Verbandsgemeinde Landau-Land"
Offenbach,"Verbandsgemeinde Offenbach an der Queich"
Dahner Felsenland,"Verbandsgemeinde Dahner Felsenland"
Hauenstein,"Verbandsgemeinde Hauenstein"
Pirmasens-Land,"Verbandsgemeinde Pirmasens-Land"
Rodalben,"Verbandsgemeinde Rodalben"
Thaleischweiler-Fröschen,"Verbandsgemeinde Thaleischweiler-Fröschen - Wallhalben"
Waldfischbach-Burgalben,"Verbandsgemeinde Waldfischbach-Burgalben"
Zweibrücken-Land,"Verbandsgemeinde Zweibrücken-Land"
Hermeskeil,"Verbandsgemeinde Hermeskeil"
Kell,"Verbandsgemeinde Kell am See"
Konz,"Verbandsgemeinde Konz"
Ruwer,"Verbandsgemeinde Ruwer"
Saarburg,"Verbandsgemeinde Saarburg"
Schweich,"Verbandsgemeinde Schweich an der Römischen Weinstraße"
Trier-Land,"Verbandsgemeinde Trier-Land"
Daun,"Verbandsgemeinde Daun"
Gerolstein,"Verbandsgemeinde Gerolstein"
Hillesheim,"Verbandsgemeinde Hillesheim"
Kelberg,"Verbandsgemeinde Kelberg"
Obere Kyll,"Verbandsgemeinde Obere Kyll"
Bad Marienberg,"Verbandsgemeinde Bad Marienberg (Westerwald)"
Hachenburg,"Verbandsgemeinde Hachenburg"
Höhr-Grenzhausen,"Verbandsgemeinde Höhr-Grenzhausen"
Montabaur,"Verbandsgemeinde Montabaur"
Ransbach-Baumbach,"Verbandsgemeinde Ransbach-Baumbach"
Rennerod,"Verbandsgemeinde Rennerod"
Selters,"Verbandsgemeinde Selters (Westerwald)"
Wallmerod,"Verbandsgemeinde Wallmerod"
Westerburg,"Verbandsgemeinde Westerburg"
Wirges,"Verbandsgemeinde Wirges"
