Berlin,"Berlin, Stadt",Berlin
Oering,Oering,Schleswig-Holstein
Pfaffen-Schwabenheim,Pfaffen-Schwabenheim,Rheinland-Pfalz
Rümpel,Rümpel,Schleswig-Holstein
Holste,Holste,Niedersachsen
Trulben,Trulben,Rheinland-Pfalz
Quitzdorf am See,Quitzdorf am See,Sachsen
Trabitz,Trabitz,Bayern
Bächingen a.d.Brenz,Bächingen a.d.Brenz,Bayern
Hüffelsheim,Hüffelsheim,Rheinland-Pfalz
Markt Berolzheim,"Markt Berolzheim, M",Bayern
Wollbach,Wollbach,Bayern
Baisweil,Baisweil,Bayern
Wurmsham,Wurmsham,Bayern
Tschernitz,Tschernitz,Brandenburg
Quern,Quern,Schleswig-Holstein
Görzke,Görzke,Brandenburg
Weidenstetten,Weidenstetten,Baden-Württemberg
Ehlscheid,Ehlscheid,Rheinland-Pfalz
Stolpe,Stolpe,Schleswig-Holstein
Gutenstetten,Gutenstetten,Bayern
Eggenthal,Eggenthal,Bayern
Hohenberg-Krusemark,Hohenberg-Krusemark,Sachsen-Anhalt
Dedelstorf,Dedelstorf,Niedersachsen
Hetzles,Hetzles,Bayern
Görisried,Görisried,Bayern
Siedenburg,"Siedenburg, Flecken",Niedersachsen
Thomasburg,Thomasburg,Niedersachsen
Busenberg,Busenberg,Rheinland-Pfalz
Wiesenau,Wiesenau,Brandenburg
Hohenkirchen,Hohenkirchen,Mecklenburg-Vorpommern
Untermaßfeld,Untermaßfeld,Thüringen
Reinstorf,Reinstorf,Niedersachsen
Steinhorst,Steinhorst,Niedersachsen
Pennigsehl,Pennigsehl,Niedersachsen
Auhagen,Auhagen,Niedersachsen
Varrel,Varrel,Niedersachsen
Märkisch Luch,Märkisch Luch,Brandenburg
Klotten,Klotten,Rheinland-Pfalz
Kirchenpingarten,Kirchenpingarten,Bayern
Niedertaufkirchen,Niedertaufkirchen,Bayern
Eichigt,Eichigt,Sachsen
Horstedt,Horstedt,Niedersachsen
Longuich,Longuich,Rheinland-Pfalz
Kamern,Kamern,Sachsen-Anhalt
Borne,Borne,Sachsen-Anhalt
Schonstett,Schonstett,Bayern
Hitzhusen,Hitzhusen,Schleswig-Holstein
Friedenfels,Friedenfels,Bayern
Gesees,Gesees,Bayern
Evessen,Evessen,Niedersachsen
Eisenheim,"Eisenheim, M",Bayern
Berkholz-Meyenburg,Berkholz-Meyenburg,Brandenburg
Borstel,Borstel,Niedersachsen
Wangerooge,"Wangerooge, Nordseebad",Niedersachsen
Bütthard,"Bütthard, M",Bayern
Großenstein,Großenstein,Thüringen
Dausenau,Dausenau,Rheinland-Pfalz
Orenhofen,Orenhofen,Rheinland-Pfalz
Schollene,Schollene,Sachsen-Anhalt
Grattersdorf,Grattersdorf,Bayern
Nistertal,Nistertal,Rheinland-Pfalz
Seybothenreuth,Seybothenreuth,Bayern
Hawangen,Hawangen,Bayern
Geroldshausen,Geroldshausen,Bayern
Luisenthal,Luisenthal,Thüringen
Wenzendorf,Wenzendorf,Niedersachsen
Glan-Münchweiler,Glan-Münchweiler,Rheinland-Pfalz
Stadelhofen,Stadelhofen,Bayern
Sachsenkam,Sachsenkam,Bayern
Effelder,Effelder,Thüringen
Oldenswort,Oldenswort,Schleswig-Holstein
Dingolshausen,Dingolshausen,Bayern
Gemünden,Gemünden,Rheinland-Pfalz
Altenbuch,Altenbuch,Bayern
Treben,Treben,Thüringen
Güster,Güster,Schleswig-Holstein
Kottweiler-Schwanden,Kottweiler-Schwanden,Rheinland-Pfalz
Schöfweg,Schöfweg,Bayern
Zeschdorf,Zeschdorf,Brandenburg
Schwarza,Schwarza,Thüringen
Tiddische,Tiddische,Niedersachsen
Wildsteig,Wildsteig,Bayern
Bensdorf,Bensdorf,Brandenburg
Finne,Finne,Sachsen-Anhalt
Heustreu,Heustreu,Bayern
Schönau a.d.Brend,Schönau a.d.Brend,Bayern
Holtsee,Holtsee,Schleswig-Holstein
Bockenau,Bockenau,Rheinland-Pfalz
Eppelsheim,Eppelsheim,Rheinland-Pfalz
Leupoldsgrün,Leupoldsgrün,Bayern
Sprakensehl,Sprakensehl,Niedersachsen
Großniedesheim,Großniedesheim,Rheinland-Pfalz
Malching,Malching,Bayern
Wittelshofen,Wittelshofen,Bayern
Wimmelburg,Wimmelburg,Sachsen-Anhalt
Oßmannstedt,Oßmannstedt,Thüringen
Barenburg,"Barenburg, Flecken",Niedersachsen
Siefersheim,Siefersheim,Rheinland-Pfalz
Ebertsheim,Ebertsheim,Rheinland-Pfalz
Lindau,Lindau,Schleswig-Holstein
Fachbach,Fachbach,Rheinland-Pfalz
Frickenhausen a.Main,"Frickenhausen a.Main, M",Bayern
Crinitz,Crinitz,Brandenburg
Mellingen,Mellingen,Thüringen
Lüder,Lüder,Niedersachsen
Häusern,Häusern,Baden-Württemberg
Obermarchtal,Obermarchtal,Baden-Württemberg
Hipstedt,Hipstedt,Niedersachsen
Niedermurach,Niedermurach,Bayern
Damshagen,Damshagen,Mecklenburg-Vorpommern
Tutow,Tutow,Mecklenburg-Vorpommern
Etzbach,Etzbach,Rheinland-Pfalz
Gondershausen,Gondershausen,Rheinland-Pfalz
Hellenhahn-Schellenberg,Hellenhahn-Schellenberg,Rheinland-Pfalz
Sonneborn,Sonneborn,Thüringen
Drelsdorf,Drelsdorf,Schleswig-Holstein
Hamdorf,Hamdorf,Schleswig-Holstein
Gädheim,Gädheim,Bayern
Osterspai,Osterspai,Rheinland-Pfalz
Bausendorf,Bausendorf,Rheinland-Pfalz
Neustadt a.Main,Neustadt a.Main,Bayern
Hirschbach,Hirschbach,Bayern
Bösenbrunn,Bösenbrunn,Sachsen
Rammingen,Rammingen,Baden-Württemberg
Hennweiler,Hennweiler,Rheinland-Pfalz
Niederdorf,Niederdorf,Sachsen
Steigra,Steigra,Sachsen-Anhalt
St.Gangloff,St.Gangloff,Thüringen
Seck,Seck,Rheinland-Pfalz
Aichelberg,Aichelberg,Baden-Württemberg
Hagenbüchach,Hagenbüchach,Bayern
Neukirchen,Neukirchen,Schleswig-Holstein
Lintig,Lintig,Niedersachsen
Höheinöd,Höheinöd,Rheinland-Pfalz
Marktgraitz,"Marktgraitz, M",Bayern
Vaale,Vaale,Schleswig-Holstein
Oberrieden,Oberrieden,Bayern
Oppurg,Oppurg,Thüringen
Niederlangen,Niederlangen,Niedersachsen
Unterleinleiter,Unterleinleiter,Bayern
Eldena,Eldena,Mecklenburg-Vorpommern
Dürrholz,Dürrholz,Rheinland-Pfalz
Kasel,Kasel,Rheinland-Pfalz
Ober-Flörsheim,Ober-Flörsheim,Rheinland-Pfalz
Steinebach/ Sieg,Steinebach/ Sieg,Rheinland-Pfalz
Oberreichenbach,Oberreichenbach,Bayern
Nahrendorf,Nahrendorf,Niedersachsen
Leuchtenberg,"Leuchtenberg, M",Bayern
Elgersburg,Elgersburg,Thüringen
Eyendorf,Eyendorf,Niedersachsen
Kolbingen,Kolbingen,Baden-Württemberg
Gössenheim,Gössenheim,Bayern
Lieser,Lieser,Rheinland-Pfalz
Steimel,Steimel,Rheinland-Pfalz
Gusow-Platkow,Gusow-Platkow,Brandenburg
Königshain,Königshain,Sachsen
Hürup,Hürup,Schleswig-Holstein
Grolsheim,Grolsheim,Rheinland-Pfalz
Gülzow,Gülzow,Schleswig-Holstein
Brücken,Brücken,Rheinland-Pfalz
Halsenbach,Halsenbach,Rheinland-Pfalz
Pölzig,Pölzig,Thüringen
Rieden am Forggensee,Rieden am Forggensee,Bayern
Biebelried,Biebelried,Bayern
Dahme,Dahme,Schleswig-Holstein
Ebernhahn,Ebernhahn,Rheinland-Pfalz
Waldstetten,"Waldstetten, M",Bayern
Göhren,Göhren,Mecklenburg-Vorpommern
Alt Meteln,Alt Meteln,Mecklenburg-Vorpommern
Zellertal,Zellertal,Rheinland-Pfalz
Weißdorf,Weißdorf,Bayern
Breitenthal,Breitenthal,Bayern
Gusborn,Gusborn,Niedersachsen
Herforst,Herforst,Rheinland-Pfalz
Beiersdorf,Beiersdorf,Sachsen
Gersten,Gersten,Niedersachsen
Schlehdorf,Schlehdorf,Bayern
Höslwang,Höslwang,Bayern
Gestratz,Gestratz,Bayern
Wingerode,Wingerode,Thüringen
Obermaßfeld-Grimmenthal,Obermaßfeld-Grimmenthal,Thüringen
Wallmenroth,Wallmenroth,Rheinland-Pfalz
Rieden,Rieden,Rheinland-Pfalz
Schillingen,Schillingen,Rheinland-Pfalz
Kohlberg,"Kohlberg, M",Bayern
Bokholt-Hanredder,Bokholt-Hanredder,Schleswig-Holstein
Wusterhusen,Wusterhusen,Mecklenburg-Vorpommern
Riol,Riol,Rheinland-Pfalz
Viereck,Viereck,Mecklenburg-Vorpommern
Monzelfeld,Monzelfeld,Rheinland-Pfalz
Bonstetten,Bonstetten,Bayern
Lunow-Stolzenhagen,Lunow-Stolzenhagen,Brandenburg
Brauneberg,Brauneberg,Rheinland-Pfalz
Holzgünz,Holzgünz,Bayern
Malliß,Malliß,Mecklenburg-Vorpommern
Neuenkirchen,Neuenkirchen,Niedersachsen
Heuchelheim bei Frankenthal,Heuchelheim bei Frankenthal,Rheinland-Pfalz
Zusamaltheim,Zusamaltheim,Bayern
Maihingen,Maihingen,Bayern
Bartenshagen-Parkentin,Bartenshagen-Parkentin,Mecklenburg-Vorpommern
Schmiechen,Schmiechen,Bayern
Roskow,Roskow,Brandenburg
Altefähr,Altefähr,Mecklenburg-Vorpommern
Hauptstuhl,Hauptstuhl,Rheinland-Pfalz
Niederbergkirchen,Niederbergkirchen,Bayern
Paulinenaue,Paulinenaue,Brandenburg
Dranske,Dranske,Mecklenburg-Vorpommern
Enzklösterle,Enzklösterle,Baden-Württemberg
Wutach,Wutach,Baden-Württemberg
Stechlin,Stechlin,Brandenburg
Rügland,Rügland,Bayern
Berg im Gau,Berg im Gau,Bayern
Reuth b.Erbendorf,Reuth b.Erbendorf,Bayern
Heere,Heere,Niedersachsen
Ahrbrück,Ahrbrück,Rheinland-Pfalz
Merzalben,Merzalben,Rheinland-Pfalz
Hirschfeld,Hirschfeld,Sachsen
Ruppach-Goldhausen,Ruppach-Goldhausen,Rheinland-Pfalz
Rothenstein,Rothenstein,Thüringen
Antdorf,Antdorf,Bayern
Steinsfeld,Steinsfeld,Bayern
Neukirchen,Neukirchen,Schleswig-Holstein
Schwarzenbach,Schwarzenbach,Bayern
Neuhaus (Oste),"Neuhaus (Oste), Flecken",Niedersachsen
Egglkofen,Egglkofen,Bayern
Theisseil,Theisseil,Bayern
Polle,"Polle, Flecken",Niedersachsen
Münchweiler an der Alsenz,Münchweiler an der Alsenz,Rheinland-Pfalz
Neustadt am Kulm,"Neustadt am Kulm, St",Bayern
Markt Einersheim,"Markt Einersheim, M",Bayern
Rohlstorf,Rohlstorf,Schleswig-Holstein
Werben (Elbe),"Werben (Elbe), Hansestadt",Sachsen-Anhalt
Berlingerode,Berlingerode,Thüringen
Hundeshagen,Hundeshagen,Thüringen
Wittmar,Wittmar,Niedersachsen
Linau,Linau,Schleswig-Holstein
Holzhausen an der Haide,Holzhausen an der Haide,Rheinland-Pfalz
Mogendorf,Mogendorf,Rheinland-Pfalz
Reichenbach,Reichenbach,Bayern
Neuhütten,Neuhütten,Bayern
Kehrig,Kehrig,Rheinland-Pfalz
Gnutz,Gnutz,Schleswig-Holstein
Lasbek,Lasbek,Schleswig-Holstein
Villenbach,Villenbach,Bayern
Pahlen,Pahlen,Schleswig-Holstein
Girod,Girod,Rheinland-Pfalz
Bleialf,Bleialf,Rheinland-Pfalz
Ebenweiler,Ebenweiler,Baden-Württemberg
Oberdolling,Oberdolling,Bayern
Weigendorf,Weigendorf,Bayern
Nebelschütz,Nebelschütz,Sachsen
Perach,Perach,Bayern
Höchheim,Höchheim,Bayern
Nanzdietschweiler,Nanzdietschweiler,Rheinland-Pfalz
Welle,Welle,Niedersachsen
Birresborn,Birresborn,Rheinland-Pfalz
Carlow,Carlow,Mecklenburg-Vorpommern
Weißenborn,Weißenborn,Thüringen
Völkershausen,Völkershausen,Thüringen
Ottenstein,"Ottenstein, Flecken",Niedersachsen
Erfweiler,Erfweiler,Rheinland-Pfalz
Sölden,Sölden,Baden-Württemberg
Feichten a.d.Alz,Feichten a.d.Alz,Bayern
Oberscheinfeld,"Oberscheinfeld, M",Bayern
Kirchheim,Kirchheim,Thüringen
Herrngiersdorf,Herrngiersdorf,Bayern
Malgersdorf,Malgersdorf,Bayern
Märkisch Linden,Märkisch Linden,Brandenburg
Biendorf,Biendorf,Mecklenburg-Vorpommern
Biburg,Biburg,Bayern
Teichland,Teichland,Brandenburg
Galenbeck,Galenbeck,Mecklenburg-Vorpommern
Großeibstadt,Großeibstadt,Bayern
Balgstädt,Balgstädt,Sachsen-Anhalt
Neuwittenbek,Neuwittenbek,Schleswig-Holstein
Hammoor,Hammoor,Schleswig-Holstein
Ilbesheim bei Landau in der Pfalz,Ilbesheim bei Landau in der Pfalz,Rheinland-Pfalz
Balzhausen,Balzhausen,Bayern
Turnow-Preilack,Turnow-Preilack,Brandenburg
Hochdonn,Hochdonn,Schleswig-Holstein
Offenbach-Hundheim,Offenbach-Hundheim,Rheinland-Pfalz
Riegsee,Riegsee,Bayern
Trinwillershagen,Trinwillershagen,Mecklenburg-Vorpommern
Steinbach,Steinbach,Thüringen
Kallstadt,Kallstadt,Rheinland-Pfalz
Talheim,Talheim,Baden-Württemberg
Gotteszell,Gotteszell,Bayern
Gilten,Gilten,Niedersachsen
Fürthen,Fürthen,Rheinland-Pfalz
Krickenbach,Krickenbach,Rheinland-Pfalz
Steinkirchen,Steinkirchen,Bayern
Meuselbach-Schwarzmühle,Meuselbach-Schwarzmühle,Thüringen
Kastorf,Kastorf,Schleswig-Holstein
Pellworm,Pellworm,Schleswig-Holstein
Jerxheim,Jerxheim,Niedersachsen
Linden,Linden,Rheinland-Pfalz
Gütenbach,Gütenbach,Baden-Württemberg
Lonnig,Lonnig,Rheinland-Pfalz
Irchenrieth,Irchenrieth,Bayern
Gielow,Gielow,Mecklenburg-Vorpommern
Trassem,Trassem,Rheinland-Pfalz
Eisenberg,Eisenberg,Bayern
Schraplau,"Schraplau, Stadt",Sachsen-Anhalt
Brand,Brand,Bayern
Sievershütten,Sievershütten,Schleswig-Holstein
Kirchwalsede,Kirchwalsede,Niedersachsen
Westheim,Westheim,Bayern
Saal,Saal,Mecklenburg-Vorpommern
Wustrow,Wustrow,Mecklenburg-Vorpommern
Porschdorf,Porschdorf,Sachsen
Osterwald,Osterwald,Niedersachsen
Lanitz-Hassel-Tal,Lanitz-Hassel-Tal,Sachsen-Anhalt
Geismar,Geismar,Thüringen
Raitenbuch,Raitenbuch,Bayern
Flöthe,Flöthe,Niedersachsen
Kirchseelte,Kirchseelte,Niedersachsen
Schönwald,Schönwald,Brandenburg
Frankenheim/Rhön,Frankenheim/Rhön,Thüringen
Dünsen,Dünsen,Niedersachsen
Sörgenloch,Sörgenloch,Rheinland-Pfalz
Oberpöring,Oberpöring,Bayern
Lautrach,Lautrach,Bayern
Finneland,Finneland,Sachsen-Anhalt
Oberotterbach,Oberotterbach,Rheinland-Pfalz
Groß Nemerow,Groß Nemerow,Mecklenburg-Vorpommern
Höchstädt i.Fichtelgebirge,Höchstädt i.Fichtelgebirge,Bayern
Rannungen,Rannungen,Bayern
Prosselsheim,Prosselsheim,Bayern
Kleinaitingen,Kleinaitingen,Bayern
Pölitz,Pölitz,Schleswig-Holstein
Erlbach,Erlbach,Bayern
Orlamünde,"Orlamünde, Stadt",Thüringen
Kröppelshagen-Fahrendorf,Kröppelshagen-Fahrendorf,Schleswig-Holstein
Oetzen,Oetzen,Niedersachsen
Schönbach,Schönbach,Sachsen
Thierstein,"Thierstein, M",Bayern
Baudenbach,"Baudenbach, M",Bayern
Kuhfelde,Kuhfelde,Sachsen-Anhalt
Nützen,Nützen,Schleswig-Holstein
Ifta,Ifta,Thüringen
Göhl,Göhl,Schleswig-Holstein
Longkamp,Longkamp,Rheinland-Pfalz
Hunding,Hunding,Bayern
Burgsalach,Burgsalach,Bayern
Bodenrode-Westhausen,Bodenrode-Westhausen,Thüringen
Dettum,Dettum,Niedersachsen
Gusenburg,Gusenburg,Rheinland-Pfalz
Ramsthal,Ramsthal,Bayern
Neuschoo,Neuschoo,Niedersachsen
Betzendorf,Betzendorf,Niedersachsen
Balgheim,Balgheim,Baden-Württemberg
Theilenhofen,Theilenhofen,Bayern
Genderkingen,Genderkingen,Bayern
Höttingen,Höttingen,Bayern
Wittenhagen,Wittenhagen,Mecklenburg-Vorpommern
Tannenberg,Tannenberg,Sachsen
Sankt Julian,Sankt Julian,Rheinland-Pfalz
Lindetal,Lindetal,Mecklenburg-Vorpommern
Wonsees,"Wonsees, M",Bayern
Beutelsbach,Beutelsbach,Bayern
Ellzee,Ellzee,Bayern
Egg a.d.Günz,Egg a.d.Günz,Bayern
Born a. Darß,Born a. Darß,Mecklenburg-Vorpommern
Groß Wittensee,Groß Wittensee,Schleswig-Holstein
Lauter,Lauter,Bayern
Neuenkirchen,Neuenkirchen,Mecklenburg-Vorpommern
Hemsbünde,Hemsbünde,Niedersachsen
Bubsheim,Bubsheim,Baden-Württemberg
Kleinfurra,Kleinfurra,Thüringen
Nindorf,Nindorf,Schleswig-Holstein
Stelzenberg,Stelzenberg,Rheinland-Pfalz
Dreetz,Dreetz,Brandenburg
Wiek,Wiek,Mecklenburg-Vorpommern
Dobbertin,Dobbertin,Mecklenburg-Vorpommern
Agathenburg,Agathenburg,Niedersachsen
Bruck,Bruck,Bayern
Gstadt a.Chiemsee,Gstadt a.Chiemsee,Bayern
Walkertshofen,Walkertshofen,Bayern
Pollhagen,Pollhagen,Niedersachsen
Kayhude,Kayhude,Schleswig-Holstein
Todendorf,Todendorf,Schleswig-Holstein
Büchel,Büchel,Rheinland-Pfalz
Sippersfeld,Sippersfeld,Rheinland-Pfalz
Hassendorf,Hassendorf,Niedersachsen
Neu Zauche,Neu Zauche,Brandenburg
Stettfeld,Stettfeld,Bayern
Spabrücken,Spabrücken,Rheinland-Pfalz
Aichen,Aichen,Bayern
Helferskirchen,Helferskirchen,Rheinland-Pfalz
Fürstenberg,Fürstenberg,Niedersachsen
Klein Berßen,Klein Berßen,Niedersachsen
Nörtershausen,Nörtershausen,Rheinland-Pfalz
Michelau i.Steigerwald,Michelau i.Steigerwald,Bayern
Niederstriegis,Niederstriegis,Sachsen
Döllstädt,Döllstädt,Thüringen
Wassenach,Wassenach,Rheinland-Pfalz
Irlbach,Irlbach,Bayern
Neukirchen-Balbini,"Neukirchen-Balbini, M",Bayern
Engelthal,Engelthal,Bayern
Markt Nordheim,"Markt Nordheim, M",Bayern
Groß Düben,Groß Düben,Sachsen
Wagenhoff,Wagenhoff,Niedersachsen
Dannewerk,Dannewerk,Schleswig-Holstein
Hasel,Hasel,Baden-Württemberg
Spantekow,Spantekow,Mecklenburg-Vorpommern
Lembruch,Lembruch,Niedersachsen
Zenting,Zenting,Bayern
Stockheim,Stockheim,Bayern
Ippesheim,"Ippesheim, M",Bayern
Rohrberg,Rohrberg,Sachsen-Anhalt
Rhade,Rhade,Niedersachsen
Dommershausen,Dommershausen,Rheinland-Pfalz
Blowatz,Blowatz,Mecklenburg-Vorpommern
Molauer Land,Molauer Land,Sachsen-Anhalt
Wehr,Wehr,Rheinland-Pfalz
Bergen,Bergen,Bayern
Baar (Schwaben),Baar (Schwaben),Bayern
Großthiemig,Großthiemig,Brandenburg
Schülp b. Rendsburg,Schülp b. Rendsburg,Schleswig-Holstein
Bundenthal,Bundenthal,Rheinland-Pfalz
Sembach,Sembach,Rheinland-Pfalz
Insingen,Insingen,Bayern
Ergersheim,Ergersheim,Bayern
Altenhausen,Altenhausen,Sachsen-Anhalt
Ilberstedt,Ilberstedt,Sachsen-Anhalt
Rochau,Rochau,Sachsen-Anhalt
Altenfeld,Altenfeld,Thüringen
Mönchhagen,Mönchhagen,Mecklenburg-Vorpommern
Bad Alexandersbad,Bad Alexandersbad,Bayern
Groß Miltzow,Groß Miltzow,Mecklenburg-Vorpommern
Neustadt/Harz,Neustadt/Harz,Thüringen
Mettendorf,Mettendorf,Rheinland-Pfalz
Reichenwalde,Reichenwalde,Brandenburg
Hartmannsdorf-Reichenau,Hartmannsdorf-Reichenau,Sachsen
Heringsdorf,Heringsdorf,Schleswig-Holstein
Staudach-Egerndach,Staudach-Egerndach,Bayern
Lissendorf,Lissendorf,Rheinland-Pfalz
Burk,Burk,Bayern
Holzheim,Holzheim,Bayern
Räckelwitz,Räckelwitz,Sachsen
Enge-Sande,Enge-Sande,Schleswig-Holstein
Lürschau,Lürschau,Schleswig-Holstein
Guderhandviertel,Guderhandviertel,Niedersachsen
Üdersdorf,Üdersdorf,Rheinland-Pfalz
Tarnow,Tarnow,Mecklenburg-Vorpommern
Nordheim v.d.Rhön,Nordheim v.d.Rhön,Bayern
Frankenstein,Frankenstein,Sachsen
Axstedt,Axstedt,Niedersachsen
Dunum,Dunum,Niedersachsen
Rhodt unter Rietburg,Rhodt unter Rietburg,Rheinland-Pfalz
Hopferau,Hopferau,Bayern
Fünfseen,Fünfseen,Mecklenburg-Vorpommern
Dorfhain,Dorfhain,Sachsen
Aach,Aach,Rheinland-Pfalz
Oldendorf,Oldendorf,Schleswig-Holstein
Friedewald,Friedewald,Rheinland-Pfalz
Egweil,Egweil,Bayern
Weißenohe,Weißenohe,Bayern
Staudt,Staudt,Rheinland-Pfalz
Wernersberg,Wernersberg,Rheinland-Pfalz
Schneckenlohe,Schneckenlohe,Bayern
Alfeld,Alfeld,Bayern
Sommerkahl,Sommerkahl,Bayern
Kirschweiler,Kirschweiler,Rheinland-Pfalz
Bad Bayersoien,Bad Bayersoien,Bayern
Großkarlbach,Großkarlbach,Rheinland-Pfalz
Felm,Felm,Schleswig-Holstein
Zorge,Zorge,Niedersachsen
Oederquart,Oederquart,Niedersachsen
Timmaspe,Timmaspe,Schleswig-Holstein
Nauroth,Nauroth,Rheinland-Pfalz
Körperich,Körperich,Rheinland-Pfalz
Speinshart,Speinshart,Bayern
Niederroßla,Niederroßla,Thüringen
Sulzdorf a.d.Lederhecke,Sulzdorf a.d.Lederhecke,Bayern
Aletshausen,Aletshausen,Bayern
Kriebitzsch,Kriebitzsch,Thüringen
Bovenau,Bovenau,Schleswig-Holstein
Ahnsen,Ahnsen,Niedersachsen
Nordleda,Nordleda,Niedersachsen
Oberelbert,Oberelbert,Rheinland-Pfalz
Neunkhausen,Neunkhausen,Rheinland-Pfalz
Dettighofen,Dettighofen,Baden-Württemberg
Rheden,Rheden,Niedersachsen
Glött,Glött,Bayern
Rickert,Rickert,Schleswig-Holstein
Dohren,Dohren,Niedersachsen
Masburg,Masburg,Rheinland-Pfalz
Lichtenberg,"Lichtenberg, St",Bayern
Kemnitz,Kemnitz,Mecklenburg-Vorpommern
Witterda,Witterda,Thüringen
Klüsserath,Klüsserath,Rheinland-Pfalz
Groß Schacksdorf-Simmersdorf,Groß Schacksdorf-Simmersdorf,Brandenburg
Munkbrarup,Munkbrarup,Schleswig-Holstein
Diebach,Diebach,Bayern
Großkmehlen,Großkmehlen,Brandenburg
Brehme,Brehme,Thüringen
Neuberend,Neuberend,Schleswig-Holstein
Mehlbach,Mehlbach,Rheinland-Pfalz
Bahrenborstel,Bahrenborstel,Niedersachsen
Oberfell,Oberfell,Rheinland-Pfalz
Dobersdorf,Dobersdorf,Schleswig-Holstein
Münster,Münster,Bayern
Dippach,Dippach,Thüringen
Lage,Lage,Niedersachsen
Schwarzenborn,"Schwarzenborn, Stadt",Hessen
Oberzissen,Oberzissen,Rheinland-Pfalz
Faid,Faid,Rheinland-Pfalz
Uelversheim,Uelversheim,Rheinland-Pfalz
Heuweiler,Heuweiler,Baden-Württemberg
Oberwiera,Oberwiera,Sachsen
Breddorf,Breddorf,Niedersachsen
Weißenborn,Weißenborn,Hessen
Wolferstadt,Wolferstadt,Bayern
Tüttendorf,Tüttendorf,Schleswig-Holstein
Holzappel,Holzappel,Rheinland-Pfalz
Thundorf i.UFr.,Thundorf i.UFr.,Bayern
Heimbach,Heimbach,Rheinland-Pfalz
Buchbrunn,Buchbrunn,Bayern
Bruttig-Fankel,Bruttig-Fankel,Rheinland-Pfalz
Krebeck,Krebeck,Niedersachsen
Ustersbach,Ustersbach,Bayern
Giersleben,Giersleben,Sachsen-Anhalt
Molschleben,Molschleben,Thüringen
Rethwisch,Rethwisch,Schleswig-Holstein
Landolfshausen,Landolfshausen,Niedersachsen
Wolken,Wolken,Rheinland-Pfalz
Weisel,Weisel,Rheinland-Pfalz
Friemar,Friemar,Thüringen
Kinderbeuern,Kinderbeuern,Rheinland-Pfalz
Buchholz,Buchholz,Schleswig-Holstein
Nusse,Nusse,Schleswig-Holstein
Messingen,Messingen,Niedersachsen
Heistenbach,Heistenbach,Rheinland-Pfalz
Langenbach bei Kirburg,Langenbach bei Kirburg,Rheinland-Pfalz
Habach,Habach,Bayern
Wipfeld,Wipfeld,Bayern
Planebruch,Planebruch,Brandenburg
Jürgenstorf,Jürgenstorf,Mecklenburg-Vorpommern
Schlagsdorf,Schlagsdorf,Mecklenburg-Vorpommern
Badem,Badem,Rheinland-Pfalz
Zangberg,Zangberg,Bayern
Jürgenshagen,Jürgenshagen,Mecklenburg-Vorpommern
Garlstorf,Garlstorf,Niedersachsen
Dohren,Dohren,Niedersachsen
Töpen,Töpen,Bayern
Oberpleichfeld,Oberpleichfeld,Bayern
Altkirchen,Altkirchen,Thüringen
Luhden,Luhden,Niedersachsen
Hönningen,Hönningen,Rheinland-Pfalz
Thomm,Thomm,Rheinland-Pfalz
Giekau,Giekau,Schleswig-Holstein
Volxheim,Volxheim,Rheinland-Pfalz
Olsbrücken,Olsbrücken,Rheinland-Pfalz
Bechtsrieth,Bechtsrieth,Bayern
Wald,Wald,Bayern
Bucha,Bucha,Thüringen
Lehe,Lehe,Schleswig-Holstein
Herzhorn,Herzhorn,Schleswig-Holstein
Stavern,Stavern,Niedersachsen
Maxsain,Maxsain,Rheinland-Pfalz
Mühl Rosin,Mühl Rosin,Mecklenburg-Vorpommern
Brücken-Hackpfüffel,Brücken-Hackpfüffel,Sachsen-Anhalt
Regesbostel,Regesbostel,Niedersachsen
Waxweiler,Waxweiler,Rheinland-Pfalz
Barnstädt,Barnstädt,Sachsen-Anhalt
Sulzheim,Sulzheim,Rheinland-Pfalz
Freisbach,Freisbach,Rheinland-Pfalz
Neufraunhofen,Neufraunhofen,Bayern
Windelsbach,Windelsbach,Bayern
Mittelneufnach,Mittelneufnach,Bayern
Hornstorf,Hornstorf,Mecklenburg-Vorpommern
Essel,Essel,Niedersachsen
Apfeldorf,Apfeldorf,Bayern
Jameln,Jameln,Niedersachsen
Gattendorf,Gattendorf,Bayern
Brunn,Brunn,Mecklenburg-Vorpommern
Lüdersfeld,Lüdersfeld,Niedersachsen
Lindenberg,Lindenberg,Rheinland-Pfalz
Röfingen,Röfingen,Bayern
Kirchbrak,Kirchbrak,Niedersachsen
Ederheim,Ederheim,Bayern
Dürrhennersdorf,Dürrhennersdorf,Sachsen
Flacht,Flacht,Rheinland-Pfalz
Leonberg,Leonberg,Bayern
Seinsheim,"Seinsheim, M",Bayern
Upahl,Upahl,Mecklenburg-Vorpommern
Reil,Reil,Rheinland-Pfalz
Sindelsdorf,Sindelsdorf,Bayern
Hüde,Hüde,Niedersachsen
Dudeldorf,Dudeldorf,Rheinland-Pfalz
Obermoschel,"Obermoschel, Stadt",Rheinland-Pfalz
Dersekow,Dersekow,Mecklenburg-Vorpommern
Winden,Winden,Rheinland-Pfalz
Raben Steinfeld,Raben Steinfeld,Mecklenburg-Vorpommern
Deutschneudorf,Deutschneudorf,Sachsen
Bötersen,Bötersen,Niedersachsen
